source_xpath,target_xpath,comment
/xml/dataset/metadata/additional/collectionEndDate/values/value,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionEnd,Direct string map
/xml/dataset/metadata/study_desc/method/data_collection/frequency,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionFrequency,Direct string map
/xml/dataset/metadata/additional/collectionProcess/collectionModeDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/CollectionProcess/CollectionModeDetails,Direct string map
/xml/dataset/metadata/study_desc/method/data_collection/sample_frame/frame_unit/unit_type,DataCollectionAccess/DataCollectionIntegration/DataCollection/RecruitmentSource,API returns stringified JSON list; Extractor needs to parse this.
/xml/dataset/metadata/additional/activeFollowUp/isActiveFollowUp,DataCollectionAccess/DataCollectionIntegration/DataCollection/ActiveFollowUp/IsActiveFollowUp,Boolean string (0/1)
/xml/dataset/metadata/additional/dataCollectionIntegration/isDataIntegration,DataCollectionAccess/DataCollectionIntegration/DataCollectionIntegration/IsDataIntegration,Boolean string (0/1)
/xml/dataset/metadata/additional/dataKind/values/value,DataCollectionAccess/DataCollectionIntegration/DataTypes/DataType,ARRAY: Simple list
/xml/dataset/metadata/additional/dataTypes/clinicalDataDetails,DataCollectionAccess/DataCollectionIntegration/DataTypes/ClinicalDataDetails,Direct string map
/xml/dataset/metadata/additional/dataTypes/biologicalDataDetails,DataCollectionAccess/DataCollectionIntegration/DataTypes/BiologicalDataDetails,Direct string map
/xml/dataset/metadata/additional/dataTypes/isDataInBiobank,DataCollectionAccess/DataCollectionIntegration/DataTypes/isDataInBiobank,Boolean string (0/1)
/xml/dataset/metadata/additional/dataTypes/biobankContent/biobankcontent,DataCollectionAccess/DataCollectionIntegration/DataTypes/BiobankContent,ARRAY: Simple list
/xml/dataset/metadata/additional/dataTypes/otherLiquidsDetails,DataCollectionAccess/DataCollectionIntegration/DataTypes/OtherLiquidsDetails,Direct string map
/xml/dataset/metadata/study_desc/data_access/dataset_availability/access_place,DataCollectionAccess/DataAccess/DatasetAvailability/AccessPlace,Direct string map
/xml/dataset/metadata/additional/avlStatus/values,DataCollectionAccess/DataAccess/DatasetAvailability/Status/value,Direct string map
/xml/dataset/metadata/study_desc/data_access/dataset_use/conditions,DataCollectionAccess/DataAccess/UseStatement/AccessConditions,Direct string map
/xml/dataset/metadata/study_desc/data_access/dataset_use/conf_dec/item/txt,DataCollectionAccess/DataAccess/UseStatement/NonDisclosureAgreement,Direct string map
