source_xpath,target_xpath,comment
/xml/dataset/metadata/additional/sponsor/sponsorType/sponsortype,AdministrativeInformation/OrganisationGovernance/SponsorTypeRaw,"Types Sponsor - liste PARALLELE à Sponsor, appariée par position dans builder.py"

/xml/dataset/metadata/additional/governance/committee,AdministrativeInformation/OrganisationGovernance/Governance/Committee,"Chaîne booléenne (0/1) -- valeur brute 'Autre' retombe sur 0, le détail va dans OtherGovernance ci-dessous."
/xml/dataset/metadata/study_desc/study_info/quality_statement/standards/standard/governance,AdministrativeInformation/OrganisationGovernance/Governance/OtherGovernance,"Autre modalité de gouvernance, précisions"
/xml/dataset/metadata/additional/collaborations/networkConsortium,AdministrativeInformation/OrganisationGovernance/Collaborations/NetworkConsortium,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/study_desc/oth_id/item[type='collaboration']/name,AdministrativeInformation/OrganisationGovernance/Collaborations/CollaborationsDetails,"Collaboration(s) impliquée(s), précisions"

ROOT:/xml/dataset/metadata/study_desc/title_statement/IDno/metadata_no/item,AdministrativeInformation/OtherStudyId,"Boucle Autres Identifiants de l'Etude"
./agency,AdministrativeInformation/OtherStudyId/IDSchema,"Type identifiant"
./code,AdministrativeInformation/OtherStudyId/Identifier,"Valeur identifiant"
/xml/dataset/metadata/study_desc/method/study_class,StudyRelatedInfo/StudyOverview/StudyStatus,"Statut de l'étude (Etude en cours -> Etude active)"
/xml/dataset/metadata/study_desc/study_info/analysis_unit,StudyMethodology/AnalysisUnit,"Unité d'analyse (ex: Individus)"
/xml/dataset/metadata/additional/researchType/values,StudyMethodology/ResearchType,"Valeur Type de recherche"

# ... [Previous mappings for StudyOverview ...

# --- INTERVENTIONAL STUDY BLOCK ---
/xml/dataset/metadata/additional/interventionalStudy/isClinicalTrial,StudyMethodology/InterventionalStudy/IsClinicalTrial,"Chaîne booléenne (0/1)."

# Trial Phase and Research Purpose (from the dedicated interventionalStudy block)
/xml/dataset/metadata/additional/interventionalStudy/trialPhase/trialphase,StudyMethodology/InterventionalStudy/TrialPhase,"Phase de l'essai"
/xml/dataset/metadata/additional/interventionalStudy/researchPurpose/researchpurpose,StudyMethodology/InterventionalStudy/ResearchPurpose,"Objectif Principal"
/xml/dataset/metadata/additional/interventionalStudy/otherResearchPurpose,StudyMethodology/InterventionalStudy/OtherResearchPurpose,"Autre Objectif Principal"

# Inclusion Groups
/xml/dataset/metadata/additional/isInclusionGroups,StudyMethodology/InterventionalStudy/IsInclusionGroups,"Chaîne booléenne (0/1)."
ROOT:/xml/dataset/metadata/additional/inclusionGroups/inclusiongroup,StudyMethodology/InterventionalStudy/InclusionGroup,"Boucle Groupe Inclusion"
./name,StudyMethodology/InterventionalStudy/InclusionGroup/GroupName,"Nom Groupe"
./description,StudyMethodology/InterventionalStudy/InclusionGroup/GroupDescription,"Desc Groupe"

# Intervention Model
/xml/dataset/metadata/additional/interventionalStudy/interventionalStudyModel,StudyMethodology/InterventionalStudy/InterventionalStudyModel,"Schéma d’intervention"

# Allocation
/xml/dataset/metadata/additional/allocation/allocationMode,StudyMethodology/InterventionalStudy/Allocation/AllocationMode,"Mode d'allocation"
/xml/dataset/metadata/additional/allocation/allocationUnit,StudyMethodology/InterventionalStudy/Allocation/AllocationUnit,"Unité d'allocation"

# Masking
/xml/dataset/metadata/additional/masking/maskingType,StudyMethodology/InterventionalStudy/Masking/MaskingType,"Mode d'insu"
/xml/dataset/metadata/additional/masking/blindedMaskingDetails/blindedmaskingdetail,StudyMethodology/InterventionalStudy/Masking/BlindedMaskingDetails,"Groupe(s) avec insu -- BlindedMaskingDetails est une énumération simple (pas de value/URI), TABLEAU : Liste simple plate."

# Arms (if present)
ROOT:/xml/dataset/metadata/additional/arms/arm,StudyMethodology/InterventionalStudy/Arm,"Boucle Bras"
./name,StudyMethodology/InterventionalStudy/Arm/ArmName,"Nom du bras"
./type,StudyMethodology/InterventionalStudy/Arm/ArmTypeRaw,"Type de bras (brut -- ArmType est un jeu de booléens, pas une chaîne, décomposé dans builder.py)"
./typeOther,StudyMethodology/InterventionalStudy/Arm/ArmTypeOther,"Autre type de bras"
./description,StudyMethodology/InterventionalStudy/Arm/ArmDescription,"Description du bras"

# Interventions
ROOT:/xml/dataset/metadata/additional/intervention/item,StudyMethodology/InterventionalStudy/Intervention,"Boucle Intervention"
./name,StudyMethodology/InterventionalStudy/Intervention/InterventionName,"Nom Intervention"
./type,StudyMethodology/InterventionalStudy/Intervention/InterventionType,"Type Intervention"
./typeOther,StudyMethodology/InterventionalStudy/Intervention/InterventionTypeOther,"Autre Type Intervention"

# --- OBSERVATIONAL STUDY BLOCK ---
# Branche parallèle à InterventionalStudy : mêmes sources (isInclusionGroups,
# inclusionGroups, intervention/item) mappées ICI AUSSI vers ObservationalStudy.
# builder.py détruit ensuite la branche qui ne correspond pas au ResearchType
# final (InterventionalStudy si observationnel, ObservationalStudy si interventionnel).
/xml/dataset/metadata/study_desc/method/notes/note[subject='observational study method']/values/value,StudyMethodology/ObservationalStudy/ObservationalStudyDesign,"Modèle de l'étude observationnelle"
/xml/dataset/metadata/additional/otherResearchType/otherResearchTypeDetails,StudyMethodology/ObservationalStudy/OtherResearchTypeDetails,"Autre type d'étude observationnelle, précisions"
/xml/dataset/metadata/study_desc/method/data_collection/time_method,StudyMethodology/ObservationalStudy/TimePerspective,"Perspective temporelle"

/xml/dataset/metadata/additional/isInclusionGroups,StudyMethodology/ObservationalStudy/IsInclusionGroups,"Chaîne booléenne (0/1)."
ROOT:/xml/dataset/metadata/additional/inclusionGroups/inclusiongroup,StudyMethodology/ObservationalStudy/InclusionGroup,"Boucle Groupe Inclusion (Observationnelle)"
./name,StudyMethodology/ObservationalStudy/InclusionGroup/GroupName,"Nom Groupe"
./description,StudyMethodology/ObservationalStudy/InclusionGroup/GroupDescription,"Desc Groupe"

ROOT:/xml/dataset/metadata/additional/intervention/item,StudyMethodology/ObservationalStudy/Intervention,"Boucle Facteur/Exposition (Observationnelle)"
./name,StudyMethodology/ObservationalStudy/Intervention/InterventionName,"Nom Facteur/Exposition"
./type,StudyMethodology/ObservationalStudy/Intervention/InterventionType,"Type Facteur/Exposition"
./typeOther,StudyMethodology/ObservationalStudy/Intervention/InterventionTypeOther,"Autre Type Facteur/Exposition"

# Outcomes
/xml/dataset/metadata/study_desc/study_development/development_activity/item[activity_type='primary evaluation']/activity_description,StudyMethodology/Outcomes/PrimaryOutcomes,"Critère d'évaluation principal"
/xml/dataset/metadata/study_desc/study_development/development_activity/item[activity_type='secondary evaluation']/activity_description,StudyMethodology/Outcomes/SecondaryOutcomes,"Critère(s) d'évaluation secondaire(s)"

# ... [Rest of the mappings for DataCollectionAccess] ...

# Third-party sources : SourceType n'est pas répétable dans un seul ThirdPartySource,
# mais un <source> peut avoir plusieurs <srcorig> -- SourceTypeRaw est donc éclaté en
# plusieurs ThirdPartySource (dupliquant Name/Id/Purpose) dans builder.py.
ROOT:/xml/dataset/metadata/study_desc/method/data_collection/sources/source,DataCollectionAccess/DataCollectionIntegration/DataIntegration/ThirdPartySource,"Boucle Sources Tierces"
./sourceCitation/titlStmt/titl,DataCollectionAccess/DataCollectionIntegration/DataIntegration/ThirdPartySource/SourceName,"Description de la source"
./sourceCitation/holdings,DataCollectionAccess/DataCollectionIntegration/DataIntegration/ThirdPartySource/SourceId,"Identifiant de la source"
./sourceCitation/notes[subject='source purpose']/value,DataCollectionAccess/DataCollectionIntegration/DataIntegration/ThirdPartySource/SourcePurpose,"Objectif de l'intégration de la source"
./srcOrig/srcorig,DataCollectionAccess/DataCollectionIntegration/DataIntegration/ThirdPartySource/SourceTypeRaw,"Type(s) de source brut"
/xml/dataset/metadata/additional/thirdPartySource/otherSourceType/othersourcetype,DataCollectionAccess/DataCollectionIntegration/DataIntegration/OtherSourceTypeRaw,"Autre type de source, précisions -- liste PARALLELE (chemin séparé), appariée par position avec ThirdPartySource dans builder.py"

/xml/dataset/metadata/study_desc/method/data_collection/target_sample_size,DataCollectionAccess/DataCollectionIntegration/SampleSize/PlannedSampleSize,"Taille d'échantillon cible"
/xml/dataset/metadata/study_desc/method/data_collection/response_rate,DataCollectionAccess/DataCollectionIntegration/SampleSize/FinalSampleSize,"Taille d'échantillon final"

/xml/dataset/metadata/study_desc/study_info/coll_dates/coll_date/start,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionStart,"Date début collecte"
/xml/dataset/metadata/study_desc/study_info/coll_dates/coll_date/end,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionEnd,"Date fin collecte"
/xml/dataset/metadata/study_desc/method/data_collection/frequency,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionFrequency,"Fréquence"

/xml/dataset/metadata/study_desc/method/data_collection/coll_mode/item,DataCollectionAccess/DataCollectionIntegration/DataCollection/CollectionProcess/CollectionModeRaw,"JSON brut des modes de collecte"
/xml/dataset/metadata/study_desc/method/data_collection/sampling_procedure,DataCollectionAccess/DataCollectionIntegration/DataCollection/CollectionProcess/SamplingModeRaw,"JSON brut d'échantillonnage"

/xml/dataset/metadata/study_desc/method/data_collection/sample_frame/frame_unit/unit_type,DataCollectionAccess/DataCollectionIntegration/DataCollection/RecruitmentSourceRaw,"Source recrutement (Liste parsée)"

/xml/dataset/metadata/additional/activeFollowUp/isActiveFollowUp,DataCollectionAccess/DataCollectionIntegration/DataCollection/ActiveFollowUp/IsActiveFollowUp,"Chaîne booléenne (0/1)."

/xml/dataset/metadata/study_desc/method/notes/note[subject='follow-up']/values/value,DataCollectionAccess/DataCollectionIntegration/DataCollection/ActiveFollowUp/FollowUpMode,"Valeur Suivi"

/xml/dataset/metadata/additional/dataCollectionIntegration/isDataIntegration,DataCollectionAccess/DataCollectionIntegration/IsDataIntegration,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/regulatoryRequirements/conformityDeclaration,DataCollectionAccess/DataCollectionIntegration/DataIntegration/ConformityDeclaration,"ConformityDeclaration"

/xml/dataset/metadata/study_desc/study_info/data_kind,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/DataTypeRaw,"Faux tableau brut des types de données"
/xml/dataset/metadata/additional/dataTypes/dataTypeOther,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/DataTypeOther,"Autre type de données, précisions"
/xml/dataset/metadata/additional/dataTypes/clinicalDataDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/ClinicalDataDetails,"Détails cliniques"
/xml/dataset/metadata/additional/dataTypes/biologicalDataDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/BiologicalDataDetails,"Détails biologiques"
/xml/dataset/metadata/additional/dataTypes/isDataInBiobank,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/isDataInBiobank,"Présence Biobanque"
/xml/dataset/metadata/additional/dataTypes/biobankContent/biobankcontent,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/BiobankContent,"Contenu Biobanque"
/xml/dataset/metadata/additional/dataTypes/biobankContentOther,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/BiobankContentOther,"Autre échantillon, précisions"
/xml/dataset/metadata/additional/dataTypes/paraclinicalDataOther,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/ParaclinicalDataOther,"Autres données paracliniques (hors biologiques), précisions"
/xml/dataset/metadata/additional/dataTypes/otherLiquidsDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/OtherLiquidsDetails,"Chaîne brute directe."

/xml/dataset/metadata/study_desc/study_info/quality_statement/standards/standard/name,DataCollectionAccess/DataAccess/DataQuality/UsedStandardsRaw,"Standard ou nomenclature employé"
/xml/dataset/metadata/study_desc/study_info/quality_statement/other_quality_statement,DataCollectionAccess/DataAccess/DataQuality/QualityProcedureRaw,"Procédure qualité utilisée"

/xml/dataset/metadata/study_desc/data_access/dataset_availability/status,DataCollectionAccess/DataAccess/DataAvailability/IndividualDataAccessRaw,"JSON brut pour IndividualDataAccess"
/xml/dataset/metadata/study_desc/method/data_collection/research_instrument,DataCollectionAccess/DataAccess/DataAvailability/AggregatedDataAccess,"Modalités de mise à disposition des données agrégées"

/xml/dataset/metadata/study_desc/data_access/dataset_use/spec_perm/item/required,DataCollectionAccess/DataAccess/DataAvailability/DataAccessRequestTool/DataAccessRequestToolAvailable,"Existe-t-il un outil de demande d'accès"
/xml/dataset/metadata/study_desc/data_access/dataset_use/spec_perm/item/txt,DataCollectionAccess/DataAccess/DataAvailability/DataAccessRequestTool/DataAccessRequestToolLocation,"Lien vers l'outil"

/xml/dataset/metadata/study_desc/data_access/dataset_availability/complete,DataCollectionAccess/DataAccess/DataAvailability/DataFileCompleteness,"Complétude des fichiers"
/xml/dataset/metadata/study_desc/data_access/dataset_availability/access_place,DataCollectionAccess/DataAccess/DataAvailability/DataLocation ,"Localisation des données"


/xml/dataset/metadata/study_desc/data_access/dataset_use/conditions,DataCollectionAccess/DataAccess/UseStatement/AccessConditions,"Conditions d'accès"
/xml/dataset/metadata/study_desc/data_access/dataset_use/restrictions,DataCollectionAccess/DataAccess/UseStatement/AccessRestrictions,"Restrictions d'accès"
/xml/dataset/metadata/study_desc/data_access/notes,DataCollectionAccess/DataAccess/UseStatement/AdditionalDataAccessLink,"Lien vers le plan de partage"
/xml/dataset/metadata/study_desc/data_access/dataset_use/conf_dec/item/txt,DataCollectionAccess/DataAccess/UseStatement/NonDisclosureAgreement,"Accord de confidentialité"

ROOT:/xml/dataset/metadata/study_desc/data_access/dataset_use/contact/item,DataCollectionAccess/DataAccess/UseStatement/DataInformationContact,"Boucle Contacts Données"
./name,DataCollectionAccess/DataAccess/UseStatement/DataInformationContact/DIContactName,"Contact données - Nom"
./email,DataCollectionAccess/DataAccess/UseStatement/DataInformationContact/DIContactMail,"Contact données - Email"

/xml/dataset/metadata/study_desc/data_access/dataset_use/deposit_req,DataCollectionAccess/DataAccess/DataCitation/DataCitationRequirement,"Obligation de transmission"
/xml/dataset/metadata/study_desc/data_access/dataset_use/cit_req,DataCollectionAccess/DataAccess/DataCitation/DataCitationStatement,"Obligation de citation"

/xml/dataset/metadata/additional/variableDictionnary/variableDictionnaryAvailable,DataCollectionAccess/DataAccess/VariableDictionnary/VariableDictionnaryAvailable,"Dico des variables dispo"
/xml/dataset/metadata/additional/variableDictionnary/variableDictionnaryLink,DataCollectionAccess/DataAccess/VariableDictionnary/VariableDictionnaryLink,"Lien vers le dico"

/xml/dataset/metadata/additional/mockSample/mockSampleAvailable,DataCollectionAccess/DataAccess/MockSample/MockSampleAvailable,"Echantillon fictif dispo"
/xml/dataset/metadata/additional/mockSample/mockSampleLocation,DataCollectionAccess/DataAccess/MockSample/MockSampleLocation,"Lien échantillon fictif"
/xml/dataset/metadata/additional/dataQuality/otherDocumentation,DataCollectionAccess/DataAccess/OtherDocumentation,"Documentation complémentaire"

ROOT:/xml/dataset/metadata/additional/fileDscr/fileTxt/fileCitation/titlStmt/IDno/idno,DataCollectionAccess/DataAccess/DatasetPID,"Boucle PID Jeu de données"
./type,DataCollectionAccess/DataAccess/DatasetPID/DatasetPIDSchema,"Type ID pérenne"
./uri,DataCollectionAccess/DataAccess/DatasetPID/URI,"Valeur ID pérenne"

ROOT:/xml/dataset/metadata/additional/relatedDocument/relateddocument,DataCollectionAccess/RelatedDocument,"Boucle Documents Connexes"
./type,DataCollectionAccess/RelatedDocument/DocumentType,"Doc connexe - Titre"
./title,DataCollectionAccess/RelatedDocument/DocumentTitle,"Doc connexe - Type"
./link,DataCollectionAccess/RelatedDocument/DocumentLink,"Doc connexe - Lien"
